sts12,	sts13,	sts14,	sts15,	sts16,	stsB,	sickR,	avg	mode
66.447543,79.946179,68.042383,76.941491,75.009456,76.743362,71.589085,73.531357,my-result
65.995992,82.345969,72.273877,78.666483,75.314724,78.880723,70.790893,74.895523,my-result
63.518719,81.728070,71.966300,78.215949,74.727393,77.722339,70.644248,74.074717,my-result
64.445972,82.001219,69.374782,80.390222,74.264642,75.213907,72.742954,74.061957,my-result
60.848518,82.075844,73.008723,80.055387,76.624515,79.513765,73.213213,75.048566,my-result
57.378722,80.675111,72.122269,77.572195,74.721930,77.552050,71.988775,73.144436,my-result
66.430906,80.958343,71.949845,80.119705,78.597771,80.347684,74.349334,76.107655,my-result
59.967669,77.365887,68.844072,76.478051,76.814582,78.991521,72.453146,72.987847,my-result
63.560158,77.625970,68.011714,77.533919,78.221980,80.355568,73.770158,74.154210,my-result
64.412949,79.297700,72.892863,75.869910,76.984467,80.203748,74.776125,74.919680,my-result
54.016606,70.686265,66.852859,73.120346,73.636226,80.526676,73.905998,70.392139,my-result
61.098624,79.687008,71.360984,76.856611,78.684550,80.693214,72.933295,74.473469,my-result